"configuration","task","route","seed","n","n_active","auc","ap","ap_baseline","balanced_accuracy","f1"
"pure_route","A","docking_only","4096","287","126","0.6793108547766933","0.6564054319138319","0.43902439024390244","0.6219806763285024","0.5188679245283019"
"pure_route","A","static_structure","4096","287","126","0.7370600414078674","0.6579836374067041","0.43902439024390244","0.6756383712905452","0.6218487394957983"
"pure_route","A","dynamic_glep","4096","287","126","0.8021295474711624","0.7614663186518612","0.43902439024390244","0.7336093857832988","0.6866952789699571"
"pure_route","A","docking_only","4097","287","126","0.6245440205067534","0.6331936765432316","0.43902439024390244","0.5652173913043478","0.47368421052631576"
"pure_route","A","static_structure","4097","287","126","0.7515527950310558","0.6478911326336887","0.43902439024390244","0.6801242236024845","0.6206896551724138"
"pure_route","A","dynamic_glep","4097","287","126","0.8175096125406685","0.7453267905928781","0.43902439024390244","0.7296411318150449","0.6810344827586207"
"pure_route","A","docking_only","4098","287","126","0.6524696835255841","0.6450088079746835","0.43902439024390244","0.5904071773636991","0.5065502183406113"
"pure_route","A","static_structure","4098","287","126","0.7573203194321207","0.6790148211358522","0.43902439024390244","0.682712215320911","0.6302521008403361"
"pure_route","A","dynamic_glep","4098","287","126","0.8188898747904959","0.7936550852617374","0.43902439024390244","0.766735679779158","0.7288135593220338"
"pure_route","B","docking_only","4096","134","21","0.4987357774968394","0.2283710212538387","0.15671641791044777","0.5465655288664137","0.2222222222222222"
"pure_route","B","static_structure","4096","134","21","0.562157606405394","0.19489743454898112","0.15671641791044777","0.506110408765276","0.07692307692307693"
"pure_route","B","dynamic_glep","4096","134","21","0.5364517488411293","0.25103459738496053","0.15671641791044777","0.5836493889591234","0.29411764705882354"
"pure_route","B","docking_only","4097","134","21","0.5600505689001264","0.2298846903507764","0.15671641791044777","0.5421407501053519","0.21621621621621623"
"pure_route","B","static_structure","4097","134","21","0.5029498525073746","0.23933025959976645","0.15671641791044777","0.5404551201011378","0.1935483870967742"
"pure_route","B","dynamic_glep","4097","134","21","0.6386430678466076","0.2832288010521508","0.15671641791044777","0.5360303413400759","0.1875"
"pure_route","B","docking_only","4098","134","21","0.4578592498946481","0.14290519371300336","0.15671641791044777","0.49346818373367046","0.16666666666666666"
"pure_route","B","static_structure","4098","134","21","0.48841129372102826","0.15297630104957075","0.15671641791044777","0.4778761061946903","0.0"
"pure_route","B","dynamic_glep","4098","134","21","0.5636325326590812","0.30559961882095443","0.15671641791044777","0.644542772861357","0.42424242424242425"
"pure_route","D","docking_only","4096","231","89","0.6135068840006329","0.45138166977469285","0.3852813852813853","0.552935591074537","0.43529411764705883"
"pure_route","D","static_structure","4096","231","89","0.6088779870232631","0.5325537416406501","0.3852813852813853","0.5775834783984808","0.4539877300613497"
"pure_route","D","dynamic_glep","4096","231","89","0.6338819433454661","0.5787519307215846","0.3852813852813853","0.6050799177084982","0.4666666666666667"
"pure_route","D","docking_only","4097","231","89","0.6044469061560374","0.45476009673661627","0.3852813852813853","0.5621538218072479","0.42038216560509556"
"pure_route","D","static_structure","4097","231","89","0.6956796961544548","0.5664257990213796","0.3852813852813853","0.6057524924829878","0.4774193548387097"
"pure_route","D","dynamic_glep","4097","231","89","0.603497388827346","0.5161551284792998","0.3852813852813853","0.5853774331381547","0.4444444444444444"
"pure_route","D","docking_only","4098","231","89","0.635306219338503","0.4933522034441398","0.3852813852813853","0.5859708814685869","0.47953216374269003"
"pure_route","D","static_structure","4098","231","89","0.6313498971356227","0.5409859945340378","0.3852813852813853","0.5902437094476974","0.4691358024691358"
"pure_route","D","dynamic_glep","4098","231","89","0.602310492166482","0.5255539937201595","0.3852813852813853","0.5642506725747745","0.4276729559748428"
